Date,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW
2/1/2022 22:00,1122.17,-1978.92
2/1/2022 23:00,1257.33,-1890
2/2/2022 0:00,2271.58,-1639.75
2/2/2022 1:00,2786.33,-1604.08
2/2/2022 2:00,2828.92,-1654.33
2/2/2022 3:00,2745.92,-1599.67
2/2/2022 4:00,2647.25,-1639.83
2/2/2022 5:00,2658.33,-1852
2/2/2022 6:00,2447,-1941.08
2/2/2022 7:00,2417,-2019.33
2/2/2022 8:00,2369.92,-2039.17
2/2/2022 9:00,2684.25,-2170.25
2/2/2022 10:00,2456.17,-2014
2/2/2022 11:00,2485.42,-1938.75
2/2/2022 12:00,2891.58,-1998.83
2/2/2022 13:00,2634.33,-1924.58
2/2/2022 14:00,2518.5,-1817.33
2/2/2022 15:00,2216.83,-1740.33
2/2/2022 16:00,2429.42,-1930.42
2/2/2022 17:00,2317.58,-1777.92
2/2/2022 18:00,2060.83,-1949
2/2/2022 19:00,2267.75,-1836.67
2/2/2022 20:00,2387.58,-1843.42
2/2/2022 21:00,2692.67,-2076.42
2/2/2022 22:00,3087.08,-2080.33
2/2/2022 23:00,3328.17,-1841
2/3/2022 0:00,3891.67,-1539
2/3/2022 1:00,4557.33,-1403.75
2/3/2022 2:00,4576,-1454
2/3/2022 3:00,4391.17,-1391.92
2/3/2022 4:00,4238.25,-1403.5
2/3/2022 5:00,4605.83,-1546
2/3/2022 6:00,4391.58,-1654.67
2/3/2022 7:00,4291,-2018.5
2/3/2022 8:00,4182.83,-1912.75
2/3/2022 9:00,4385.5,-1941.83
2/3/2022 10:00,4339.58,-2001.33
2/3/2022 11:00,4188.17,-2238.17
2/3/2022 12:00,4427.08,-2275.08
2/3/2022 13:00,4481.92,-2102.5
2/3/2022 14:00,4366.92,-2049.25
2/3/2022 15:00,4382.25,-1959.42
2/3/2022 16:00,4407.25,-1978
2/3/2022 17:00,4330.67,-1837.75
2/3/2022 18:00,4501.5,-1882.58
2/3/2022 19:00,4634,-1953.67
2/3/2022 20:00,4421.33,-1868.08
2/3/2022 21:00,4740.08,-1976.17
2/3/2022 22:00,4833.08,-1938.08
2/3/2022 23:00,4777.83,-1872
2/4/2022 0:00,4248,-1489.75
2/4/2022 1:00,4178.33,-1788.92
