Year,Month,Philly_Temp,M3,Dominion_South,TranscoZ6_nonNY,ChiCityGate,TranscoZ5_nonWGL,HenryHub,TranscoZ6_NY
2015,3,27.67361111,2.599299908,2.21420002,9.604092788,2.842000008,3.059900045,2.881000042,3.149800062
2015,3,39.41666667,2.599299908,2.21420002,7.632472848,2.842000008,3.059900045,2.881000042,3.149800062
2015,3,44.59548611,2.1669564,1.842594802,5.660852909,2.763373986,2.859896876,2.799533861,2.898475749
2015,3,45.73611111,1.647891662,1.443237658,3.689232969,2.689431796,2.687100297,2.722831389,2.606086977
2015,3,52.07986111,1.708445295,1.542665277,2.749826389,2.726240054,2.754714787,2.758494441,2.66037288
2015,3,46.14236111,1.808758689,1.620915114,2.799999952,2.769310523,2.808847569,2.804097381,2.777571006
2015,3,40.41666667,1.720896328,1.51594947,2.688737636,2.700379806,2.734262573,2.755621817,2.661932494
2015,3,45.13020833,1.678599954,1.458299994,2.576699972,2.619499922,2.643899918,2.691499949,2.522500038
2015,3,44.34722222,1.678599954,1.458299994,2.576699972,2.619499922,2.643899918,2.691499949,2.522500038
2015,3,43.92881944,1.845319096,1.619886999,2.628718682,2.637836106,2.655559327,2.67660194,2.588669415
2015,3,50.59722222,2.260089726,1.967455914,2.8399963,2.726953851,2.756588842,2.725328007,2.752361777
2015,3,38.64756944,2.429725089,2.102478173,2.898354169,2.781109168,2.822932107,2.77774092,2.838590076
2015,3,37.16666667,2.335002922,2.0142282,2.837854226,2.780243424,2.828946418,2.804365956,2.834872472
2015,3,33.79861111,2.403507997,2.011978801,2.873614032,2.805817911,2.868018209,2.833184578,2.870204449
2015,3,41.13888889,2.487900019,2.046999931,2.860797364,2.815099955,2.877199888,2.823199987,2.897799969
2015,3,42.31597222,2.487900019,2.046999931,2.847980697,2.815099955,2.877199888,2.823199987,2.897799969
2015,3,34.72743056,2.517297596,2.083024389,2.835164029,2.76691786,2.816013146,2.755037462,2.838456812
2015,3,34.62847222,2.239919616,1.931354805,2.822347362,2.751634194,2.754649129,2.731891435,2.733706843
2015,3,38.94097222,1.82915413,1.668705727,2.809530694,2.766614355,2.73252796,2.759662771,2.611318586
2015,3,52.45138889,2.036022527,1.809651398,2.796714026,2.748448359,2.728336103,2.73771318,2.617009756
2015,3,43.88541667,2.298022061,2.034470489,2.783897359,2.692645934,2.701557561,2.683276374,2.681318324
2015,3,36.19097222,2.248300076,2.042999983,2.771080691,2.635999918,2.655999899,2.6322999,2.661600113
2015,3,35.39930556,2.248300076,2.042999983,2.758264024,2.635999918,2.655999899,2.6322999,2.661600113
2015,3,45.88368056,2.305002412,2.024066021,2.745447356,2.614624473,2.661032427,2.622982423,2.658610509
2015,3,45.92708333,2.378542709,1.963345172,2.732630689,2.609542775,2.683439635,2.618682319,2.711953624
2015,4,44.97395833,2.178405069,1.809589572,2.679662256,2.60945802,2.655009902,2.610346939,2.566355021
2015,4,53.22222222,1.829654831,1.613490981,2.630358501,2.585425333,2.615925162,2.592066569,2.25656952
2015,4,60.5,1.698199987,1.529399991,2.627899885,2.578099966,2.623100042,2.587300062,2.149800062
2015,4,54.08854167,1.698199987,1.529399991,2.627899885,2.578099966,2.623100042,2.587300062,2.149800062
2015,4,53.671875,1.698199987,1.529399991,2.627899885,2.578099966,2.623100042,2.587300062,2.149800062
2015,4,58.19444444,1.736267369,1.579824289,2.551516126,2.612280839,2.625890308,2.602347634,2.07800026
2015,4,58.02430556,2.004299665,1.745449793,2.538876093,2.647995488,2.660887861,2.642463013,2.392402676
2015,4,42.44618056,2.119853272,1.797272395,2.638478464,2.629419337,2.710589724,2.668596491,2.75529239
2015,4,40.81076389,1.772304852,1.570715469,2.558650471,2.616724481,2.691875798,2.649071576,2.440503794
2015,4,48.30555556,1.49669985,1.359416849,2.346137076,2.552399837,2.593266843,2.586794979,1.990058667
2015,4,56.68055556,1.453400016,1.311200023,2.248699903,2.480200052,2.530600071,2.54489994,1.828600049
2015,4,53.62847222,1.453400016,1.311200023,2.248699903,2.480200052,2.530600071,2.54489994,1.828600049
2015,4,60.18402778,1.563067861,1.389527095,2.25497812,2.492756248,2.533041553,2.551078488,1.953315525
2015,4,59.19965278,1.660844077,1.479013002,2.255669662,2.507841425,2.541778147,2.55381214,2.166445039
2015,4,59.90972222,1.65926114,1.496227231,2.289562184,2.526643075,2.566984182,2.565845801,2.256443633
2015,4,60.78819444,1.608516002,1.469017674,2.345469037,2.536772127,2.590285033,2.580503479,2.136773473
2015,4,63.70833333,1.540071037,1.393893181,2.377718964,2.57036078,2.614630168,2.60735296,1.883506101
2015,4,68.78125,1.534000039,1.352499962,2.393899918,2.610599995,2.634799957,2.635400057,1.751700044
2015,4,57.86111111,1.534000039,1.352499962,2.393899918,2.610599995,2.634799957,2.635400057,1.751700044
2015,4,63.00173611,1.575754532,1.375669276,2.412883774,2.60088384,2.590205364,2.591154247,1.976317435
2015,4,60.74479167,1.692639238,1.452413891,2.46887145,2.619202091,2.569665056,2.556465702,2.356363985
2015,4,56.79861111,1.834119608,1.596286107,2.542871451,2.657116523,2.603567267,2.581945851,2.548919016
2015,4,46.86284722,1.899902737,1.687049871,2.565052021,2.642185741,2.59770323,2.57527774,2.583162703
2015,4,47.58333333,1.740004318,1.563779709,2.493048384,2.608231898,2.573530474,2.556487111,2.397733305
2015,4,48.67881944,1.57980001,1.439599991,2.43569994,2.598999977,2.564699888,2.560199976,2.214699984
2015,4,54.76215278,1.57980001,1.439599991,2.43569994,2.598999977,2.564699888,2.560199976,2.214699984
2015,4,54.45833333,1.648560432,1.469346351,2.467738338,2.561530492,2.550499446,2.521684142,2.365624153
2015,4,60.71701389,1.719793051,1.470350879,2.485052098,2.531871804,2.559967198,2.508062308,2.462292737
2015,4,65.49652778,1.681689723,1.446680939,2.502387151,2.552905059,2.592669449,2.544162563,2.423889714
2015,4,58.59722222,1.615240773,1.47063579,2.567387089,2.565700749,2.605585763,2.558936351,2.523812446
2015,5,55.57118056,1.536283651,1.440619283,2.627553896,2.616223267,2.660771994,2.614370654,2.628823543
2015,5,59.72048611,1.483199954,1.391700029,2.655299902,2.667299986,2.712199926,2.666199923,2.650899887
2015,5,65.31944444,1.483199954,1.391700029,2.655299902,2.667299986,2.712199926,2.666199923,2.650899887
2015,5,71.47048611,1.641348961,1.51751163,2.714942186,2.685586276,2.748423723,2.694302036,2.705509643
2015,5,73.84895833,1.793723998,1.640313518,2.78964899,2.720093918,2.805577947,2.741284832,2.785761908
2015,5,68.3125,1.864479368,1.681692204,2.802207599,2.734805189,2.814541294,2.753024555,2.804274134
2015,5,68.53472222,1.798153685,1.660383211,2.799999952,2.741620992,2.812565175,2.760798043,2.779960491
2015,5,69.16666667,1.63346669,1.55921774,2.799999952,2.759616485,2.836999787,2.771465147,2.794837335
2015,5,69.30034722,1.614199996,1.525200009,2.799999952,2.769299984,2.851500034,2.767100096,2.827399969
2015,5,73.28819444,1.614199996,1.525200009,2.799999952,2.769299984,2.851500034,2.767100096,2.827399969
2015,5,74.31076389,1.813057087,1.701286464,2.899652754,2.822165824,2.920858354,2.806562492,2.926853432
2015,5,77.5,1.868853268,1.758368932,2.972994091,2.896127839,2.965836611,2.850834187,2.96626166
2015,5,64.36458333,1.657778623,1.576461996,2.918794077,2.893780907,2.928343426,2.858937693,2.878393126
2015,5,61.05729167,1.540129641,1.475887008,2.864594064,2.86890515,2.905386374,2.868528936,2.733062715
2015,5,64.82291667,1.494378437,1.450948993,2.845471867,2.90008612,2.958976761,2.916155147,2.617287881
2015,5,72.25868056,1.50059998,1.46570003,2.853600025,2.933000088,3.023499966,2.957999945,2.620800018
2015,5,76.10243056,1.50059998,1.46570003,2.853600025,2.933000088,3.023499966,2.957999945,2.620800018
2015,5,71.97569444,1.607577229,1.564455927,2.986337456,2.989303865,3.076415581,2.983660576,2.859318903
2015,5,70.76736111,1.747188858,1.704159709,3.100069349,3.087505442,3.16338259,3.040442181,3.105429255
2015,5,64.23611111,1.699129316,1.670458671,2.881142892,3.06930905,3.132077261,3.027802603,2.851206551
2015,5,54.86284722,1.606665876,1.541439053,2.386475874,2.9727758,3.028930566,2.957491284,2.361044962
2015,5,65.27777778,1.583115902,1.498758313,2.382879441,2.886772934,2.985768884,2.906734843,2.063037837
2015,5,60.86284722,1.57130003,1.510800004,2.67779994,2.836800098,2.98029995,2.882200003,1.994300008
2015,5,67.83854167,1.57130003,1.510800004,2.67779994,2.836800098,2.98029995,2.882200003,1.994300008
2015,5,75.265625,1.57130003,1.510800004,2.67779994,2.836800098,2.98029995,2.882200003,1.994300008
2015,5,76.78472222,1.645790487,1.564761969,2.797482948,2.808697985,2.958774942,2.850560282,2.459080531
2015,5,77.18923611,1.663649135,1.586214566,2.894930397,2.769986317,2.925490419,2.821340777,2.895858781
2015,5,77.90972222,1.523288543,1.474872586,2.697407285,2.712015498,2.870949324,2.796645229,2.520049795
2015,5,76.73784722,1.439900041,1.396100044,2.521899939,2.664200068,2.827800035,2.769099951,2.173300028
2015,5,76.87152778,1.439900041,1.396100044,2.521899939,2.664200068,2.827800035,2.769099951,2.173300028
2015,5,79.24652778,1.387532488,1.319666332,2.513578917,2.626630913,2.768855437,2.705969954,2.200305898
2015,6,68.30034722,1.318108187,1.228599149,2.503755001,2.59527739,2.691662237,2.621174026,2.300445783
2015,6,55.67013889,1.292181792,1.206079031,2.458502666,2.589193876,2.676340796,2.611858077,2.10289426
2015,6,61.20138889,1.268799491,1.190475186,2.457948344,2.579738657,2.684032429,2.629431159,1.753566331
2015,6,62.06770833,1.231928674,1.161326211,2.503294862,2.562272172,2.669518274,2.612328735,1.567679476
2015,6,64.90277778,1.181048076,1.117226918,2.456269085,2.501190099,2.637094304,2.573356602,1.413206072
2015,6,71.64756944,1.152699947,1.095000029,2.407399893,2.460700035,2.624300003,2.556999922,1.368100047
