Date,GS-PIQ: NY Demand Forecast (Mod) Multi-Day (Details)(4252)-MW,GS-PIQ: PJM-E Demand Forecast (Mod) Multi-Day (Details)(4354)-MW,GS-PIQ: MISO Demand Forecast (Zonal Sum) Multi-Day (Details)(47581)-MW,WBI: Temp New York City NY (NYC)(5708)-Deg,PJM: Southern Forecasted Factored Weather Temp(6177)-F,PJM: Western Forecasted Factored Weather Temp(6024)-F,PJM: COMED Forecasted Factored Weather Temp(6804)-F,GS-PIQ: MISO Forecasted Factored Weather Temp(6882)-F,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW,PJM: InterTieSched- Total Exports(5806)-MW
11/12/2021,19406.18918918919,34103.83783783784,83248.48648648648,58.432432432432435,64.5945945945946,54.78378378378378,51.189189189189186,53.75675675675676,2848.7116216216223,-1185.9394594594594,5619.891891891892
11/12/2021,19520.567567567567,34397.24324324324,83717.97297297297,59.351351351351354,65.8108108108108,56.054054054054056,52.972972972972975,55.567567567567565,2772.5318918918915,-1139.7027027027025,5600.351351351352
11/12/2021,19637.08108108108,34686.08108108108,84127.43243243243,59.945945945945944,66.67567567567568,57.027027027027025,53.945945945945944,56.83783783783784,2709.5924324324324,-1096.801891891892,5534.621621621622
11/12/2021,19869.81081081081,35143.51351351351,84491.67567567568,59.729729729729726,66.8108108108108,57.5945945945946,54.567567567567565,57.513513513513516,2582.694054054054,-1074.1986486486487,5451.2972972972975
11/12/2021,20260.027027027027,35914.37837837838,84916.27027027027,59.16216216216216,66.1891891891892,57.648648648648646,54.62162162162162,57.86486486486486,2500.238108108108,-1135.8032432432435,5353.7027027027025
11/12/2021,20657.567567567567,36788.37837837838,85673.86486486487,58.432432432432435,64.72972972972973,57.027027027027025,54.2972972972973,57.567567567567565,2549.7159459459463,-1138.925945945946,5388.5675675675675
11/12/2021,20526.972972972973,36663.02702702703,86476.72972972973,57.189189189189186,62.45945945945946,55.810810810810814,53.2972972972973,56.486486486486484,2724.439189189189,-1136.144054054054,5532.135135135135
11/12/2021,20107.64864864865,35934.2972972973,86312.83783783784,56.2972972972973,60.2972972972973,54.270270270270274,52.08108108108108,54.91891891891892,2823.242432432433,-1120.3156756756755,5510.243243243243
11/12/2021,19523.594594594593,35020.2972972973,84923.32432432432,55.4054054054054,58.189189189189186,52.67567567567568,50.7027027027027,53.351351351351354,2886.9413513513514,-1112.481891891892,5485.216216216216
11/12/2021,18791.297297297297,33769.51351351351,82759.0,54.62162162162162,56.486486486486484,51.16216216216216,49.513513513513516,51.729729729729726,2940.7840540540537,-1143.1559459459459,5452.1621621621625
