Date,GS-PIQ: NY Demand Forecast (Mod) Multi-Day (Details)(4252)-MW,GS-PIQ: PJM-E Demand Forecast (Mod) Multi-Day (Details)(4354)-MW,GS-PIQ: MISO Demand Forecast (Zonal Sum) Multi-Day (Details)(47581)-MW,WBI: Temp New York City NY (NYC)(5708)-Deg,PJM: Southern Forecasted Factored Weather Temp(6177)-F,PJM: Western Forecasted Factored Weather Temp(6024)-F,PJM: COMED Forecasted Factored Weather Temp(6804)-F,GS-PIQ: MISO Forecasted Factored Weather Temp(6882)-F,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW,PJM: InterTieSched- Total Exports(5806)-MW
12/18/2021,1671.3617867542087,4087.4401159162203,7540.394700859149,19.207262140110416,16.573659408416304,19.293995393859156,21.570785771473382,19.95065233340825,996.2236805419367,763.7861283856984,1491.3370303650809
12/18/2021,1639.0174316160103,4224.899344359576,7865.958686543624,19.320397971516467,16.589551326458867,19.137482677803863,21.650166967710195,19.868108660407056,1002.2900952856953,708.6476941267368,1399.7966417084083
12/18/2021,1626.317940485053,4388.045252346043,8329.11151390778,19.04014251593267,16.60086107973284,19.253368333675855,21.678998569559862,19.89612665459928,1119.6924285778503,697.647766307672,1342.799977949352
12/18/2021,1669.700116931325,4481.408467530364,8764.22918440746,19.027560223214333,16.80210733243931,19.27219285440599,21.343747458109505,19.851399902225495,1154.1108909591312,758.1390500753139,1474.1619770345912
12/18/2021,1752.3490523298144,4354.2361781597465,8624.920336664793,19.453455655408305,17.335715359541034,19.75271296985985,21.745352615222405,20.158419131019723,1120.0697032257565,782.3629144249921,1471.4621821349858
12/18/2021,1880.3906205589003,4311.579701863984,7828.165149900324,19.73061826951445,17.40309937533738,20.22456508884759,22.563058117010467,20.67694455271464,1083.6641078203513,758.7691049928111,1517.8496787057493
12/18/2021,2053.9508895678973,4555.689039335665,6966.483145024466,20.007468575479482,17.629742136736084,20.652530765671962,23.126009433369866,21.0702742378085,1113.1187175832074,733.4807648650556,1657.7753409557886
12/18/2021,2234.87594230138,4942.095696095875,7235.117030733578,20.362739038281198,17.833143890548886,20.976785395420467,23.577455257011863,21.33090498566593,1152.142209110344,720.7227604820573,1774.6069890162908
12/18/2021,2397.831432373442,5411.213812253393,8370.789670826358,20.619351533393523,18.285769586467215,21.107048763564922,23.892307179139117,21.546269787175266,1171.048677852847,733.7394053186849,1743.1514917307452
12/18/2021,2533.848136111728,5818.173895044127,9804.251416111798,20.590567536410262,18.478134143939997,21.21536216027413,23.9611484832559,21.656477160494102,1176.9287653806114,727.7020213881726,1771.085466523208
12/18/2021,2637.651107778732,6100.867090197279,11121.6435041268,20.506975301980436,18.44026961688858,21.3507108278121,24.008288108440755,21.64288368989711,1173.2273522847563,736.4510374679961,1768.2393777418818
